Location name,Amount spent (EUR)
Alsace,723
Aquitaine,1013
Auvergne,325
Basse-Normandie,416
Bourgogne,438
Bretagne,915
Centre,807
Champagne-Ardenne,359
Corse,115
Franche-Comté,289
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,817
Languedoc-Roussillon,1010
Limousin,181
Lorraine,869
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,839
New Caledonia,≤100
Nord-Pas-de-Calais,1210
Pays de la Loire,1061
Picardie,549
Poitou-Charentes,497
Provence-Alpes-Côte d'Azur,1875
Reunion Island,≤100
Rhône-Alpes,1987
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3582
