Location name,Amount spent (MXN)
Aguascalientes,10891
Baja California,40065
Baja California Sur,6058
Campeche,8797
Chiapas,30005
Chihuahua,22842
Coahuila de Zaragoza,20224
Colima,7015
Distrito Federal,193326
Durango,9654
Guanajuato,48648
Guerrero,10783
Hidalgo,10188
Jalisco,107579
Michoacán de Ocampo,42128
Morelos,20424
Nayarit,5456
Nuevo León,102278
Oaxaca,22845
Puebla,137636
Querétaro Arteaga,21713
Quintana Roo,25260
San Luis Potosi,22560
Sinaloa,14936
Sonora,18911
State of Mexico,83169
Tabasco,8254
Tamaulipas,23605
Tlaxcala,4539
Unknown,≤100
Veracruz,35554
Yucatán,38452
Zacatecas,9099
