Location name,Amount spent (CZK)
Central Bohemian Region,17344
Hradec Králové Region,7732
Karlovy Vary Region,4229
Liberec Region,6372
Moravian-Silesian Region,16955
Olomouc Region,8703
Pardubice Region,7170
Plzeň Region,8335
Prague,32356
South Bohemian Region,8775
South Moravian Region,19185
Unknown,≤100
Vysočina Region,6648
Zlín Region,7611
Ústí nad Labem Region,13479
