Location name,Amount spent (HUF)
Baranya County,129897
Borsod-Abaúj-Zemplén County,188985
Budapest,884681
Bács-Kiskun County,162023
Békés County,106841
Csongrád County,199087
Fejér County,150748
Győr-Moson-Sopron County,144224
Hajdú-Bihar County,201584
Heves County,110025
Jász-Nagykun-Szolnok County,113643
Komárom-Esztergom County,106643
Nógrád County,67805
Pest County,333463
Somogy County,92275
Szabolcs-Szatmár-Bereg County,164924
Tolna County,73755
Unknown,119
Vas County,87657
Veszprém County,103856
Zala County,103880
