Location name,Amount spent (RON)
Alba County,473
Arad County,911
Argeș County,691
Bacău County,764
Bihor County,995
Bistrița-Năsăud County,314
Botoșani County,574
Brașov County,654
Brăila County,382
Bucharest,4553
Buzău County,469
Caraș-Severin County,379
Cluj County,1361
Constanța County,988
Covasna County,331
Călărași County,291
Dolj County,789
Dâmbovița County,579
Galați County,648
Giurgiu County,304
Gorj County,459
Harghita County,623
Hunedoara County,674
Ialomița County,338
Iași County,1499
Ilfov County,571
Maramureș County,670
Mehedinți County,300
Mureș County,954
Neamț County,775
Olt County,343
Prahova County,1106
Satu Mare County,525
Sibiu County,515
Suceava County,713
Sălaj County,364
Teleorman County,316
Timiș County,1744
Tulcea County,226
Unknown,≤100
Vaslui County,378
Vrancea County,505
Vâlcea County,354
