Location name,Amount spent (DKK)
Capital Region of Denmark,40582
Central Denmark Region,22044
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10419
Region of Southern Denmark,20179
Unknown,≤100
Zealand Region,13392
