Location name,Amount spent (INR)
Andaman and Nicobar Islands,1244
Andhra Pradesh,60459
Arunachal Pradesh,2367
Assam,13212
Bihar,48082
Chandigarh,3562
Chhattisgarh,23032
Dadra and Nagar Haveli,907
Delhi,41289
Goa,8271
Gujarat,49914
Haryana,47171
Himachal Pradesh,13443
Jammu and Kashmir,14279
Jharkhand,15434
Karnataka,321555
Kerala,16297
Lakshadweep,≤100
Madhya Pradesh,68912
Maharashtra,161529
Manipur,1442
Meghalaya,2220
Mizoram,575
Nagaland,1419
Odisha,14807
Puducherry,1374
Punjab region,35109
Rajasthan,137595
Sikkim,645
Tamil Nadu,58960
Telangana,57858
Tripura,2321
Unknown,≤100
Uttar Pradesh,98653
Uttarakhand,13401
West Bengal,44626
