Location name,Amount spent (ISK)
Capital Region,16070
Eastern Region,674
Northeastern Region,2125
Northwestern Region,1063
Southern Peninsula,1855
Southern Region,1581
Unknown,≤100
Western Region,360
Westfjords,317
