Location name,Amount spent (EGP)
Al Sharqia Governorate,2102
Alexandria Governorate,1442
Aswan Governorate,223
Asyut Governorate,486
Beheira Governorate,698
Beni Suef Governorate,309
Cairo Governorate,3761
Dakahlia Governorate,1185
Damietta Governorate,390
Faiyum Governorate,263
Gharbia Governorate,699
Giza Governorate,1002
Ismailia Governorate,333
Kafr el-Sheikh Governorate,672
Luxor Governorate,137
Matrouh Governorate,≤100
Minya Governorate,529
Monufia Governorate,634
New Valley Governorate,≤100
North Sinai Governorate,109
Port Said Governorate,376
Qalyubia Governorate,720
Qena Governorate,372
Red Sea Governorate,115
Sohag Governorate,516
South Sinai Governorate,≤100
Suez Governorate,126
Unknown,≤100
