Location name,Amount spent (UYU)
Artigas Department,123
Canelones Department,1456
Cerro Largo Department,109
Colonia Department,196
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,323
Montevideo Department,8263
Paysandú Department,154
Rivera Department,243
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,181
San José Department,≤100
Soriano Department,148
Tacuarembó Department,106
Treinta y Tres Department,≤100
