Location name,Amount spent (EGP)
Al Sharqia Governorate,5625
Alexandria Governorate,7379
Aswan Governorate,997
Asyut Governorate,2051
Beheira Governorate,3031
Beni Suef Governorate,1320
Cairo Governorate,14404
Dakahlia Governorate,6310
Damietta Governorate,1716
Faiyum Governorate,1390
Gharbia Governorate,4470
Giza Governorate,3856
Ismailia Governorate,1220
Kafr el-Sheikh Governorate,2538
Luxor Governorate,657
Matrouh Governorate,334
Minya Governorate,2301
Monufia Governorate,3198
New Valley Governorate,250
North Sinai Governorate,477
Port Said Governorate,1053
Qalyubia Governorate,3670
Qena Governorate,1437
Red Sea Governorate,619
Sohag Governorate,2339
South Sinai Governorate,237
Suez Governorate,860
Unknown,≤100
