Location name,Amount spent (THB)
Amnat Charoen,9072
Ang Thong,6430
Ayutthaya,30440
Bangkok,902387
Bueng Kan,7814
Buriram,28880
Chachoengsao,23544
Chai Nat,7090
Chaiyaphum,19353
Chanthaburi,31224
Chiang Mai,63931
Chiang Rai,34085
Chon Buri,94444
Chumphon,18679
Kalasin,14686
Kamphaeng Phet,10913
Kanchanaburi,23517
Khon Kaen,62423
Krabi,61538
Lampang,25080
Lamphun,13980
Loei,13018
Lop Buri,17144
Mae Hong Son,8633
Maha Sarakham,18455
Mukdahan,7702
Nakhon Nayok,14329
Nakhon Pathom,29974
Nakhon Phanom,13066
Nakhon Ratchasima,73429
Nakhon Sawan,20414
Nakhon Si Thammarat,55098
Nan,9656
Narathiwat,9883
Nong Bua Lam Phu,10885
Nong Khai,11236
Nonthaburi,57333
Pathum Thani,61990
Pattani,13771
Phangnga,7629
Phatthalung,33793
Phayao,11117
Phetchabun,15032
Phetchaburi,14650
Phichit,12436
Phitsanulok,65298
Phrae,9218
Phuket,112001
Prachin Buri,15631
Prachuap Khiri Khan,13415
Ranong,5372
Ratchaburi,23160
Rayong,40929
Roi Et,21308
Sa Kaeo,11997
Sakon Nakhon,20268
Samut Prakan,34129
Samut Sakhon,34532
Samut Songkhram,10395
Saraburi,23195
Satun,9160
Sing Buri,4645
Sisaket,21811
Songkhla,94864
Sukhothai,10791
Suphan Buri,18151
Surat Thani,67150
Surin,26212
Tak,8093
Trang,29549
Trat,7226
Ubon Ratchathani,44303
Udon Thani,36687
Unknown,684
Uthai Thani,5635
Uttaradit,8154
Yala Province,10996
Yasothon,11980
