Location name,Amount spent (VND)
An Giang Province,6534
Bà Rịa–Vũng Tàu Province,58149
Bình Dương Province,45242
Bình Phước Province,10294
Bình Thuận Province,6744
Bình Định Province,7082
Bạc Liêu Province,1530
Bắc Giang Province,37899
Bắc Kạn Province,3953
Bắc Ninh Province,21334
Bến Tre Province,2728
Cao Bằng Province,7914
Cà Mau Province,3507
Cần Thơ,4674
Da Nang,60398
Gia Lai Province,20728
Haiphong,34074
Ho Chi Minh City,1177766
Hà Giang Province,10440
Hà Nam Province,24368
Hà Tĩnh Province,49842
Hòa Bình Province,14268
Hưng Yên Province,23818
Hải Dương Province,44010
Hậu Giang Province,1089
Khánh Hòa Province,6977
Kiên Giang Province,16966
Kon Tum Province,3602
Lai Châu Province,3226
Long An Province,12154
Lào Cai Province,10601
Lâm Đồng Province,15217
Lạng Sơn Province,12096
Nam Định Province,37498
Nghệ An Province,74883
Ninh Bình Province,15918
Ninh Thuận Province,2478
Phú Thọ Province,32341
Phú Yên Province,5462
Quảng Bình Province,16396
Quảng Nam Province,8621
Quảng Ngãi Province,166557
Quảng Ninh Province,21154
Quảng Trị Province,6840
Sóc Trăng Province,5774
Sơn La Province,17379
Thanh Hóa Province,89623
Thái Bình Province,54497
Thái Nguyên Province,30476
Thừa Thiên–Huế Province,11120
Tiền Giang Province,2143
Trà Vinh Province,3475
Tuyên Quang Province,13259
Tây Ninh Province,3970
Unknown,≤100
Vĩnh Long Province,1523
Vĩnh Phúc Province,20032
Yên Bái Province,16896
Điện Biên Province,14197
Đắk Lắk Province,21264
Đắk Nông Province,10305
Đồng Nai Province,109569
Đồng Tháp Province,7730
