Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
190739554295848,אפי נוה,אפי נוה,5436,9
429184557235927,בצלאל סמוטריץ',בצלאל סמוטריץ,1957,10
121022057648728,"עו""ד דורון ברזילי - לראשות לשכת עורכי הדין",דורון ברזילי,1937,28
116563891775107,עיריית פתח תקווה,עיריית פתח תקוה,1804,11
107217383988190,מגזין אפוק,Epoch Magazine,1278,12
110667778701303,"עו""ד ענת קאופמן - Anat Kaufman ADV",ענת קאופמן,755,4
204780362875106,מקור ראשון,מקור ראשון,720,87
109523830757998,דמוקרטtv,דרכנו,690,3
377161539406940,רפי סער,רפי סער,608,4
219256864871723,Lea Fadida לאה פדידה,Lea Fadida לאה פדידה,586,2
153664638161877,מתן דיל- Matan Dil,מתן דיל- Matan Dil,579,2
2249582785307318,"עו""ד עמית בכר, ראש לשכת עורכי הדין","עו""ד עמית בכר, ראש לשכת עורכי הדין",545,8
124395890927240,הקרן החדשה לישראל,הקרן החדשה לישראל,544,40
428948830813584,"מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן","מגדילים - האתר הישראלי להתחדשות עירונית ונדל""ן",528,36
161096657252221,שוברים שתיקה,שוברים שתיקה,513,3
305986442906304,סלע מאיר הוצאה לאור,סלע מאיר דיגיטל,501,6
132107110817900,"מרכז הנדל""ן","מרכז הנדל""ן",498,17
114777898543659,Docaviv דוקאביב,Docaviv,477,1
103851895179872,אמהות לביאות,Nataly Milner,464,3
108037760571199,הקונגרס הישראלי,הקונגרס הישראלי,448,11
979469898759509,יוסי חביליו - Yosi Havilio,יוסי חביליו - Yosi Havilio,446,5
178433145502975,Avigdor Liberman - אביגדור ליברמן,Avigdor Liberman - אביגדור ליברמן,436,8
115456451553737,יונה יהב,יונה יהב,393,1
615531405455497,הדר לביא,הדר לביא,388,3
604890186681585,מור ויצמן,Mor Weitzman,384,1
168898066479983,עיריית עכו,עיריית עכו,381,4
100900832922166,אחים לנשק-לוחמים ולוחמות במסע להצלת הדמוקרטיה,Michal Even,376,2
114501578583315,סינמטק תל אביב,Cinematheque Tel Aviv,365,3
114693813994160,Ruby Capital,Ruby Capital,363,3
103467516087241,הפרלמנט המקורי,הפרלמנט המקורי,348,4
189208555041327,המיזם למיגור העישון,המיזם למיגור העישון בישראל,338,20
421210797920379,מועצה אזורית בנימין,מועצה אזורית בנימין,336,1
304921469636475,סיכוי-אופוק سيكوي-أفق,עמותת סיכוי-אופוק,308,27
205153712969285,מרצ רמת גן,מרצ רמת גן,298,3
44385426513,Greenpeace Israel   - גרינפיס ישראל,Greenpeace Israel   - גרינפיס ישראל,290,6
1633801720194315,מועצה מקומית פרדס חנה כרכור,מועצה מקומית פרדס חנה כרכור,275,7
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,267,2
1921160331531297,Act. تغيير اعلامي,סיכוי אופוק - سيكوي أفق,250,3
111919847028684,שומרים - המרכז לתקשורת ודמוקרטיה,שומרים - המרכז לתקשורת ודמוקרטיה,247,3
154698021323966,יוזמות אברהם  مبادرات  ابراهيم,יוזמות אברהם مبادرات ابراهيم,245,4
303720457847,לשכת רואי חשבון בישראל,לשכת רואי חשבון בישראל,242,4
171506896314198,מיטל להבי - Meital Lehavi,מיטל להבי - Meital Lehavi,242,11
110917020553426,Ari Shavit - ארי שביט,Ari Shavit - ארי שביט,241,17
163213311020271,רונן סלטון לראשות המועצה,Ilan Yehezkel,241,3
311170359590719,ישראלים מדברים,The Brief,238,2
655073717925481,קרן ברל כצנלסון,קרן ברל כצנלסון,237,28
337591096309750,Embassy of Ukraine in the State of Israel,Embassy of Ukraine in the State of Israel,225,2
109221276098008,מעוף משרות דרושים - Maof Jobs Page,Maof,221,8
371986449521679,הקרן למורשת הכותל המערבי,Tal Sanderoni,209,21
546024288762312,"ד""ר יחיאל לסרי","ד""ר יחיאל לסרי",207,2
756869797682674,Свободный Израиль,Свободный Израиль,203,1
