Location name,Amount spent (PYG)
Alto Paraguay Department,204820
Alto Paraná Department,7758461
Amambay Department,791495
Asunción,7669542
Boquerón department,286015
Caaguazú Department,2528750
Caazapá Department,444009
Canindeyú Department,712174
Central Department,18608495
Concepción Department (Paraguay),813557
Cordillera Department,1598221
Guairá Department,821651
Itapúa Department,4053441
Misiones Department,1063886
Paraguarí Department,907128
Presidente Hayes Department,444232
San Pedro Department,913184
Unknown,813
Ñeembucú Department,704539
