Location name,Amount spent (PYG)
Alto Paraguay Department,11651
Alto Paraná Department,375737
Amambay Department,57910
Asunción,377742
Boquerón department,125083
Caaguazú Department,139961
Caazapá Department,126248
Canindeyú Department,64147
Central Department,1064947
Concepción Department (Paraguay),86969
Cordillera Department,106449
Guairá Department,56464
Itapúa Department,158547
Misiones Department,105678
Paraguarí Department,61161
Presidente Hayes Department,31068
San Pedro Department,144535
Unknown,101
Ñeembucú Department,38758
