Location name,Amount spent (AUD)
Australian Capital Territory,1085
Jervis Bay Territory,≤100
New South Wales,21289
Northern Territory,529
Queensland,8567
South Australia,3322
Tasmania,1114
Unknown,≤100
Victoria,10448
Western Australia,6435
