Location name,Amount spent (SEK)
Blekinge County,5890
Dalarna County,12288
Gotland County,2894
Gävleborg County,12468
Halland County,12150
Jämtland County,5880
Jönköping County,14342
Kalmar County,9322
Kronoberg County,7250
Norrbotten County,10170
Skåne County,56838
Stockholm County,116545
Södermanland County,11871
Unknown,≤100
Uppsala County,16658
Värmland County,11055
Västerbotten County,11224
Västernorrland County,10407
Västmanland County,11106
Västra Götaland County,74811
Örebro County,12016
Östergötland County,17235
