Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,30247415,13
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,13007808,12
117935907895698,Tidak resmi: inilahcom,Inilahcom,3723715,22
102793242742002,Jaksapedia,JAKSAPEDIA,3551505,33
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,2626738,30
112121101796090,Opini 2024,Juniar Dwi Harianto,2566540,88
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,2176862,17
101403669397488,Nikmatul Sugiyarto,Juniar Dwi Harianto,1977978,66
197545083607941,Harian Kompas,Harian Kompas,1935367,43
101971245965029,Siap Kawal Polri,Kawal Polri,1843402,34
104830667806476,Melihat Indonesia,Melihat Indonesia,1147956,121
105818752347206,Teman Airlangga Hartarto,Teman Airlangga Hartarto,1112213,12
103581752405141,Sobar Harahap,Juniar Dwi Harianto,989139,33
110952238516382,Kiki Daliyo,Juniar Dwi Harianto,988005,33
107934438784675,Berani Bersuara,Berani Bersuara,780227,16
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,722312,28
102656349157647,Tugimanisme,Ganjar Nusantara Indonesia,675376,99
120493494629294,Pikiran Rakyat,"Aditya Riantiko Akbar, ST",509973,2
104622532469179,Populis,Aditia Ramdani,455631,12
104427162506872,Fakta Anies,Harian Politik,445026,21
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,423746,2
225743208016201,Grace Anastasia PSI,Partai Solidaritas Indonesia,423520,2
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,403043,2
111805655036485,Humas DPRD Pati,Aditya Rachmat Pamungkas,354313,8
102712985995817,Sobat Airlangga Hartarto,Sobat Airlangga Hartarto,352748,4
642603442612516,Muktar Efendi Harahap,Muktar efendi harahap,349237,11
107314345341621,Zakiyuddin Harahap,Zakiyuddin harahap,340665,10
444318475704011,Yayasan Bangun Kecerdasan Bangsa,Yayasan Bangun Kecerdasan Bangsa,333803,28
104317482149268,DPRD Provinsi Jawa Timur,Dinni Anggraeni,331573,10
110090765246136,Yanti Airlangga,Yayasan Golkar Institute SPKP,308309,3
104427162506872,Fakta Anies,Fakta Anies,303063,13
