Location name,Amount spent (DKK)
Capital Region of Denmark,36987
Central Denmark Region,18561
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,7466
Region of Southern Denmark,17025
Unknown,≤100
Zealand Region,9903
