Location name,Amount spent (DKK)
Capital Region of Denmark,48116
Central Denmark Region,26175
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,12497
Region of Southern Denmark,24973
Unknown,≤100
Zealand Region,15995
