Location name,Amount spent (MYR)
Johor,1431
Kedah,810
Kelantan,337
Kuala Lumpur,1717
Labuan,≤100
Malacca,178
Negeri Sembilan,257
Pahang,233
Penang,1214
Perak,394
Perlis,≤100
Putrajaya,≤100
Sabah,396
Sarawak,350
Selangor,3825
Terengganu,301
Unknown,≤100
