Location name,Amount spent (MXN)
Aguascalientes,19282
Baja California,82643
Baja California Sur,18628
Campeche,42540
Chiapas,68287
Chihuahua,61399
Coahuila de Zaragoza,54252
Colima,19969
Distrito Federal,398810
Durango,19304
Guanajuato,116664
Guerrero,33050
Hidalgo,34563
Jalisco,170183
Michoacán de Ocampo,60686
Morelos,73791
Nayarit,20916
Nuevo León,376756
Oaxaca,45124
Puebla,158837
Querétaro Arteaga,49853
Quintana Roo,95373
San Luis Potosi,39085
Sinaloa,43982
Sonora,65619
State of Mexico,180260
Tabasco,25580
Tamaulipas,63798
Tlaxcala,15179
Unknown,≤100
Veracruz,90869
Yucatán,71016
Zacatecas,19323
