Location name,Amount spent (HUF)
Baranya County,104807
Borsod-Abaúj-Zemplén County,143923
Budapest,689276
Bács-Kiskun County,120123
Békés County,92394
Csongrád County,118498
Fejér County,117916
Győr-Moson-Sopron County,162244
Hajdú-Bihar County,125159
Heves County,156223
Jász-Nagykun-Szolnok County,88094
Komárom-Esztergom County,79630
Nógrád County,51066
Pest County,292277
Somogy County,73999
Szabolcs-Szatmár-Bereg County,115096
Tolna County,58070
Unknown,126
Vas County,68451
Veszprém County,86506
Zala County,78665
