Location name,Amount spent (JPY)
Aichi Prefecture,38605
Akita Prefecture,2365
Aomori Prefecture,3568
Chiba Prefecture,28616
Ehime Prefecture,5301
Fukui Prefecture,3119
Fukuoka Prefecture,48185
Fukushima Prefecture,5249
Gifu Prefecture,7241
Gunma Prefecture,5672
Hiroshima Prefecture,12051
Hokkaido,18204
Hyōgo Prefecture,27147
Ibaraki Prefecture,26156
Ishikawa Prefecture,5019
Iwate Prefecture,2958
Kagawa Prefecture,4329
Kagoshima Prefecture,5112
Kanagawa Prefecture,64323
Kumamoto Prefecture,8311
Kyoto Prefecture,15519
Kōchi Prefecture,1627
Mie Prefecture,7283
Miyagi Prefecture,13303
Miyazaki Prefecture,30203
Nagano Prefecture,7441
Nagasaki Prefecture,6422
Nara Prefecture,5415
Niigata Prefecture,5880
Okayama Prefecture,8311
Okinawa Prefecture,10468
Osaka Prefecture,54658
Saga Prefecture,4667
Saitama Prefecture,28896
Shiga Prefecture,5707
Shimane Prefecture,1864
Shizuoka Prefecture,13489
Tochigi Prefecture,7337
Tokushima Prefecture,2042
Tokyo,131584
Tottori Prefecture,1590
Toyama Prefecture,3207
Unknown,≤100
Wakayama Prefecture,4328
Yamagata Prefecture,2503
Yamaguchi Prefecture,4614
Yamanashi Prefecture,3022
Ōita Prefecture,7167
