Location name,Amount spent (JPY)
Aichi Prefecture,18578
Akita Prefecture,1252
Aomori Prefecture,1384
Chiba Prefecture,17515
Ehime Prefecture,1638
Fukui Prefecture,1241
Fukuoka Prefecture,49612
Fukushima Prefecture,2426
Gifu Prefecture,3625
Gunma Prefecture,4595
Hiroshima Prefecture,4904
Hokkaido,9467
Hyōgo Prefecture,13211
Ibaraki Prefecture,7341
Ishikawa Prefecture,1855
Iwate Prefecture,1220
Kagawa Prefecture,1595
Kagoshima Prefecture,2355
Kanagawa Prefecture,40728
Kumamoto Prefecture,4537
Kyoto Prefecture,7102
Kōchi Prefecture,984
Mie Prefecture,3183
Miyagi Prefecture,7706
Miyazaki Prefecture,1997
Nagano Prefecture,2940
Nagasaki Prefecture,2972
Nara Prefecture,2567
Niigata Prefecture,2804
Okayama Prefecture,5355
Okinawa Prefecture,3616
Osaka Prefecture,27468
Saga Prefecture,2775
Saitama Prefecture,18084
Shiga Prefecture,2773
Shimane Prefecture,1244
Shizuoka Prefecture,7290
Tochigi Prefecture,4332
Tokushima Prefecture,923
Tokyo,58454
Tottori Prefecture,1453
Toyama Prefecture,1365
Unknown,≤100
Wakayama Prefecture,1459
Yamagata Prefecture,1359
Yamaguchi Prefecture,2958
Yamanashi Prefecture,1331
Ōita Prefecture,3096
