Location name,Amount spent (TRY)
Adana Province,4959
Adıyaman Province,≤100
Afyonkarahisar Province,320
Aksaray Province,154
Amasya Province,≤100
Ankara Province,2420
Antalya Province,883
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,310
Ağrı Province,≤100
Balıkesir Province,298
Bartın Province,122
Batman Province,≤100
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,≤100
Bursa Province,866
Denizli Province,243
Diyarbakır Province,133
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,≤100
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,1702
Gaziantep Province,361
Giresun Province,≤100
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,534
Isparta Province,≤100
Istanbul Province,7139
Iğdır Province,≤100
Kahramanmaraş Province,155
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,253
Kilis Province,≤100
Kocaeli Province,372
Konya Province,344
Kütahya Province,≤100
Kırklareli Province,156
Kırıkkale Province,≤100
Kırşehir Province,≤100
Malatya Province,≤100
Manisa Province,252
Mardin Province,≤100
Mersin Province,1220
Muğla Province,514
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,329
Osmaniye Province,400
Rize Province,≤100
Sakarya Province,137
Samsun Province,212
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,≤100
Tekirdağ Province,742
Tokat Province,≤100
Trabzon Province,197
Tunceli Province,≤100
Unknown,≤100
Uşak Province,125
Van Province,≤100
Yalova Province,≤100
Yozgat Province,≤100
Zonguldak Province,119
Çanakkale Province,109
Çankırı Province,≤100
Çorum Province,130
İzmir Province,1765
Şanlıurfa Province,171
Şırnak Province,≤100
