Location name,Amount spent (CLP)
Antofagasta Region,141904
Araucanía Region,203355
Arica y Parinacota Region,58744
Atacama Region,58078
Aysén Region,32871
Bío Bío Region,451771
Coquimbo Region,270485
Los Lagos Region,220964
Los Ríos Region,81687
Magallanes y la Antártica Chilena Region,57680
Maule Region,185925
O'Higgins Region,161460
Santiago Metropolitan Region,3012495
Tarapacá Region,66629
Unknown,1023
Valparaíso Region,566412
