Location name,Amount spent (PKR)
Azad Kashmir,1008
Balochistan,2040
Federally Administered Tribal Areas,383
Gilgit-Baltistan,976
Islamabad Capital Territory,7433
Khyber Pakhtunkhwa,11122
Punjab,35272
Sindh,16102
Unknown,≤100
