Location name,Amount spent (SEK)
Blekinge County,3028
Dalarna County,6193
Gotland County,1431
Gävleborg County,6967
Halland County,5988
Jämtland County,3253
Jönköping County,7792
Kalmar County,4619
Kronoberg County,3949
Norrbotten County,5553
Skåne County,28695
Stockholm County,54314
Södermanland County,6555
Unknown,≤100
Uppsala County,8681
Värmland County,5926
Västerbotten County,6163
Västernorrland County,5353
Västmanland County,5709
Västra Götaland County,36676
Örebro County,6501
Östergötland County,9573
