Location name,Amount spent (COP)
Amazonas,3316
Antioquia,4411374
Arauca,46831
Atlantico,722796
Bolivar,389190
Boyaca,263227
Caldas,172980
Caqueta,65561
Casanare,98899
Cauca,240928
Cesar,177181
Choco,44958
Cordoba,153506
Cundinamarca,773866
Distrito Especial,3261793
Guainia,1820
Guaviare,13448
Huila,254341
La Guajira,92378
Magdalena,222832
Meta,481400
Narino,191362
Norte de Santander,269878
Putumayo,76755
Quindio,133240
Risaralda,516785
San Andres y Providencia,10312
Santander,377631
Sucre,97963
Tolima,337125
Unknown,388
Valle del Cauca,3029233
Vaupes,838
Vichada,1629
