Location name,Amount spent (TRY)
Adana Province,1114
Adıyaman Province,≤100
Afyonkarahisar Province,474
Aksaray Province,189
Amasya Province,≤100
Ankara Province,2059
Antalya Province,2124
Ardahan Province,≤100
Artvin Province,≤100
Aydın Province,636
Ağrı Province,≤100
Balıkesir Province,464
Bartın Province,≤100
Batman Province,117
Bayburt Province,≤100
Bilecik Province,≤100
Bingöl Province,≤100
Bitlis Province,≤100
Bolu Province,≤100
Burdur Province,108
Bursa Province,1513
Denizli Province,455
Diyarbakır Province,183
Düzce Province,≤100
Edirne Province,≤100
Elazığ Province,116
Erzincan Province,≤100
Erzurum Province,≤100
Eskişehir Province,2583
Gaziantep Province,466
Giresun Province,140
Gümüşhane Province,≤100
Hakkâri Province,≤100
Hatay Province,691
Isparta Province,206
Istanbul Province,10319
Iğdır Province,≤100
Kahramanmaraş Province,206
Karabük Province,≤100
Karaman Province,≤100
Kars Province,≤100
Kastamonu Province,≤100
Kayseri Province,366
Kilis Province,≤100
Kocaeli Province,491
Konya Province,894
Kütahya Province,137
Kırklareli Province,≤100
Kırıkkale Province,325
Kırşehir Province,≤100
Malatya Province,105
Manisa Province,440
Mardin Province,123
Mersin Province,2559
Muğla Province,523
Muş Province,≤100
Nevşehir Province,≤100
Niğde Province,≤100
Ordu Province,192
Osmaniye Province,135
Rize Province,≤100
Sakarya Province,132
Samsun Province,1009
Siirt Province,≤100
Sinop Province,≤100
Sivas Province,132
Tekirdağ Province,571
Tokat Province,111
Trabzon Province,188
Tunceli Province,≤100
Unknown,≤100
Uşak Province,151
Van Province,104
Yalova Province,105
Yozgat Province,≤100
Zonguldak Province,134
Çanakkale Province,179
Çankırı Province,≤100
Çorum Province,116
İzmir Province,2835
Şanlıurfa Province,277
Şırnak Province,≤100
