Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
798673866859390,ETC TV,ETC TV,6605,80
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,Ahmed El Banna,2368,1
102883459081121,Mohamed Taher - محمد طاهر,Mohamed Taher - محمد طاهر,2345,25
550280998481446,Rasha Kelej,Rasha Kelej,1822,15
100835565731657,Ahmed Amin Massoud - أحمد أمين مسعود,Ahmed Amin Massoud - أحمد أمين مسعود,1501,7
113368611559210,German Clinic in Cairo,These ads ran without a disclaimer,1319,2
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,883,12
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,584,3
106450555171099,مجدي البري - Magdy Elbery,مجدي البري - Magdy Elbery,524,2
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,403,1
105295784663620,المهندس/ محمد رشاد  البرتقالى,المهندس/ محمد رشاد  البرتقالى,351,1
117690156743688,النائب حافظ عمران,Shôükrý Ömrãñ,270,3
105872082337085,الصفحه الرسمية للنائب أحمد عبدالجواد,ابراهيم احمد ابراهيم محمد,264,1
112072071382470,أحمد الفار - Ahmed Elfar,Noha Mohamed Ibrahim,238,2
111086937788265,موقع تحيا مصر - Tahiamasr News,Mariam Ahmed Hamouda,230,2
308088503057656,النائب محمود عصام,النائب محمود عصام,210,5
118992379972310,Fatmah Selim - فاطمة سليم,Fatmah Selim - فاطمة سليم,204,2
298138254162621,النادي الليبرالي بالقاهرة,النادي الليبرالي بالقاهرة,193,2
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,183,2
1720882541553191,حسن عمار - Hassan Ammar,حسن عمار,180,1
103283332669003,مؤسسة جمال الجارحي للتنمية المجتمعية,محمد السيد عبد الستار,174,1
371046333676858,الحرية لشريف الروبي - Free Sherif,Sara Tarek Abdelsamea Ahmed,172,1
282759032673313,مهندس محمد سعد الصمودي,محمد سعد الصمودي,164,3
110734497396339,محمود سامي - 𝐌𝐚𝐡𝐦𝐨𝐮𝐝 𝐒𝐚𝐦𝐲,Mahmoud Samy,162,1
103745798627292,المستشار ماهر ميلاد اسكندر,المستشار ماهر ميلاد اسكندر,151,3
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,141,5
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,135,3
106395438123077,حزب حماة الوطن - أمانة المنوفية,حزب حماة الوطن - أمانة المنوفية,125,1
113101433777546,Essam Diab - عصام دياب,Mahmoud Mostafa Ghorab,125,1
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,122,1
102806525317449,Delta Landmark,Delta Landmark,118,3
103571604973098,هشام حسين - Hesham Hussein,هشام حسين - Hesham Hussein,112,1
1012904038778488,سامح فتحي حبيب,سامح فتحي حبيب,104,2
105581508751620,الشعب الجمهوري Tv,الشعب الجمهوري Tv,102,1
100391255098382,Amal Ramzy,Basem Ragab,101,1
103315778193642,الصفقة,Kareem Ahmed Abdul Ghani,≤100,1
103291013528894,Dr.Mokhtar Gomaa,Ahmed Zaatar,≤100,3
131814203525361,CC Plus,Nourhan Osama,≤100,1
1424610401122573,هاني العتال - Hany Alattal,محمد السيد عبد الستار,≤100,1
104864037834748,المستشار شعبان رأفت عبداللطيف,Mohamed Helmy,≤100,1
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,≤100,3
108312491417155,Panorama Economy,Sally Mazroua,≤100,2
