Location name,Amount spent (INR)
Andaman and Nicobar Islands,380
Andhra Pradesh,46442
Arunachal Pradesh,2332
Assam,36670
Bihar,113024
Chandigarh,4485
Chhattisgarh,44729
Dadra and Nagar Haveli,2160
Delhi,73561
Goa,3513
Gujarat,95248
Haryana,51427
Himachal Pradesh,21990
Jammu and Kashmir,23256
Jharkhand,32369
Karnataka,146020
Kerala,30813
Lakshadweep,≤100
Madhya Pradesh,84307
Maharashtra,228310
Manipur,4570
Meghalaya,150933
Mizoram,2105
Nagaland,4948
Odisha,33599
Puducherry,3080
Punjab region,52003
Rajasthan,105145
Sikkim,1781
Tamil Nadu,52504
Telangana,56131
Tripura,30325
Unknown,129
Uttar Pradesh,206206
Uttarakhand,23156
West Bengal,108667
