Location name,Amount spent (HUF)
Baranya County,92275
Borsod-Abaúj-Zemplén County,149567
Budapest,620528
Bács-Kiskun County,128708
Békés County,91180
Csongrád County,222144
Fejér County,107735
Győr-Moson-Sopron County,117404
Hajdú-Bihar County,132203
Heves County,97515
Jász-Nagykun-Szolnok County,88550
Komárom-Esztergom County,76321
Nógrád County,50255
Pest County,302645
Somogy County,70700
Szabolcs-Szatmár-Bereg County,120015
Tolna County,59437
Unknown,≤100
Vas County,64886
Veszprém County,85790
Zala County,73420
