Location name,Amount spent (IDR)
Aceh,1320735
Bali,2647007
Bangka–Belitung Islands,530360
Banten,2994198
Bengkulu,1033887
Central Java,10499234
Central Kalimantan,1068008
Central Sulawesi,1584184
East Java,13767886
East Kalimantan,2579937
East Nusa Tenggara,2195758
Gorontalo,1028393
Jakarta,5182388
Jambi,1631223
Lampung,2760374
Maluku,903613
North Kalimantan,396340
North Maluku,633844
North Sulawesi,3158349
North Sumatra,5495001
Papua (province),1102293
Riau,2869240
Riau Islands Province,1244116
South Kalimantan,1147450
South Sulawesi,3515864
South Sumatra,2998088
Southeast Sulawesi,1287238
Special Region of Yogyakarta,1349306
Unknown,232
West Java,14098498
West Kalimantan,2141585
West Nusa Tenggara,3045856
West Papua,569092
West Sulawesi,626888
West Sumatra,1802816
