Location name,Amount spent (NOK)
Akershus,5803
Aust-Agder,959
Buskerud,2379
Finnmark,1082
Hedmark,1833
Hordaland,5068
Møre og Romsdal,2549
Nord-Trøndelag,1453
Nordland,2650
Oppland,1720
Oslo,11884
Rogaland,4433
Sogn og Fjordane,1051
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,5553
Telemark,1529
Troms,2087
Unknown,≤100
Vest-Agder,1651
Vestfold,2010
Østfold,3121
