Location name,Amount spent (RON)
Alba County,563
Arad County,915
Argeș County,917
Bacău County,647
Bihor County,841
Bistrița-Năsăud County,418
Botoșani County,671
Brașov County,1015
Brăila County,324
Bucharest,3393
Buzău County,633
Caraș-Severin County,323
Cluj County,1202
Constanța County,863
Covasna County,365
Călărași County,301
Dolj County,916
Dâmbovița County,645
Galați County,690
Giurgiu County,364
Gorj County,530
Harghita County,682
Hunedoara County,537
Ialomița County,246
Iași County,941
Ilfov County,640
Maramureș County,846
Mehedinți County,460
Mureș County,1338
Neamț County,919
Olt County,372
Prahova County,1238
Satu Mare County,484
Sibiu County,1101
Suceava County,675
Sălaj County,281
Teleorman County,277
Timiș County,1149
Tulcea County,213
Unknown,≤100
Vaslui County,355
Vrancea County,435
Vâlcea County,465
