Location name,Amount spent (PYG)
Alto Paraguay Department,2095
Alto Paraná Department,123500
Amambay Department,23118
Asunción,101735
Boquerón department,16840
Caaguazú Department,100728
Caazapá Department,24337
Canindeyú Department,24402
Central Department,376613
Concepción Department (Paraguay),22870
Cordillera Department,42279
Guairá Department,46990
Itapúa Department,53159
Misiones Department,20505
Paraguarí Department,21711
Presidente Hayes Department,8824
San Pedro Department,41904
Unknown,2172
Ñeembucú Department,33731
