Location name,Amount spent (EUR)
Alsace,484
Aquitaine,1000
Auvergne,337
Basse-Normandie,360
Bourgogne,394
Bretagne,892
Centre,625
Champagne-Ardenne,329
Corse,112
Franche-Comté,270
French Guiana,395
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,484
Languedoc-Roussillon,998
Limousin,177
Lorraine,563
Martinique,225
Mayotte,≤100
Midi-Pyrénées,899
New Caledonia,≤100
Nord-Pas-de-Calais,1251
Pays de la Loire,1230
Picardie,469
Poitou-Charentes,469
Provence-Alpes-Côte d'Azur,1792
Reunion Island,142
Rhône-Alpes,1959
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3844
