Location name,Amount spent (RON)
Alba County,775
Arad County,1038
Argeș County,1050
Bacău County,916
Bihor County,1253
Bistrița-Năsăud County,598
Botoșani County,593
Brașov County,1083
Brăila County,547
Bucharest,4223
Buzău County,689
Caraș-Severin County,499
Cluj County,1696
Constanța County,1279
Covasna County,435
Călărași County,410
Dolj County,1161
Dâmbovița County,864
Galați County,998
Giurgiu County,381
Gorj County,582
Harghita County,752
Hunedoara County,826
Ialomița County,370
Iași County,1501
Ilfov County,562
Maramureș County,981
Mehedinți County,388
Mureș County,1198
Neamț County,839
Olt County,495
Prahova County,1652
Satu Mare County,601
Sibiu County,795
Suceava County,934
Sălaj County,455
Teleorman County,466
Timiș County,1440
Tulcea County,333
Unknown,≤100
Vaslui County,516
Vrancea County,592
Vâlcea County,557
