Location name,Amount spent (SEK)
Blekinge County,8309
Dalarna County,16325
Gotland County,4333
Gävleborg County,16649
Halland County,18718
Jämtland County,7815
Jönköping County,18987
Kalmar County,12409
Kronoberg County,9819
Norrbotten County,14878
Skåne County,73396
Stockholm County,138509
Södermanland County,17156
Unknown,≤100
Uppsala County,21680
Värmland County,14859
Västerbotten County,15149
Västernorrland County,14249
Västmanland County,15113
Västra Götaland County,114821
Örebro County,17196
Östergötland County,23828
