Location name,Amount spent (DKK)
Capital Region of Denmark,38839
Central Denmark Region,20041
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,8906
Region of Southern Denmark,19470
Unknown,≤100
Zealand Region,15011
