Location name,Amount spent (CZK)
Central Bohemian Region,18790
Hradec Králové Region,8749
Karlovy Vary Region,4062
Liberec Region,6967
Moravian-Silesian Region,18485
Olomouc Region,9726
Pardubice Region,8169
Plzeň Region,9116
Prague,35764
South Bohemian Region,9667
South Moravian Region,22339
Unknown,≤100
Vysočina Region,7787
Zlín Region,8922
Ústí nad Labem Region,13432
