Location name,Amount spent (CZK)
Central Bohemian Region,21338
Hradec Králové Region,9074
Karlovy Vary Region,5652
Liberec Region,7649
Moravian-Silesian Region,19274
Olomouc Region,10695
Pardubice Region,8395
Plzeň Region,11447
Prague,37871
South Bohemian Region,10856
South Moravian Region,23444
Unknown,≤100
Vysočina Region,7613
Zlín Region,10458
Ústí nad Labem Region,14612
