Location name,Amount spent (ZAR)
Eastern Cape,1022
Free State,503
Gauteng,3764
KwaZulu-Natal,1211
Limpopo,406
Mpumalanga,450
North West,317
Northern Cape,138
Unknown,≤100
Western Cape,8428
