Location name,Amount spent (EGP)
Al Sharqia Governorate,2605
Alexandria Governorate,1000
Aswan Governorate,134
Asyut Governorate,402
Beheira Governorate,462
Beni Suef Governorate,285
Cairo Governorate,2990
Dakahlia Governorate,883
Damietta Governorate,268
Faiyum Governorate,246
Gharbia Governorate,640
Giza Governorate,877
Ismailia Governorate,356
Kafr el-Sheikh Governorate,350
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,341
Monufia Governorate,455
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,171
Qalyubia Governorate,897
Qena Governorate,225
Red Sea Governorate,≤100
Sohag Governorate,578
South Sinai Governorate,≤100
Suez Governorate,114
Unknown,≤100
