Location name,Amount spent (NZD)
Auckland Region,2445
Bay of Plenty Region,351
Canterbury,619
Cook Islands,≤100
Gisborne District,≤100
Hawke's Bay,221
Manawatu-Wanganui,269
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,187
Otago,222
Southland,102
Taranaki,130
Tasman District,≤100
Unknown,≤100
Waikato,461
Wellington Region,433
West Coast,≤100
