Location name,Amount spent (ARS)
Buenos Aires,31881838
Catamarca,1018149
Chaco,567075
Chubut,308139
Ciudad Autónoma de Buenos Aires,8172027
Corrientes,491906
Córdoba,4582663
Entre Rios,3866823
Formosa,326679
Jujuy,1542346
La Pampa,214382
La Rioja,384550
Mendoza,1459900
Misiones,1229971
Neuquén,358463
Río Negro,508951
Salta,1022142
San Juan,637606
San Luis,516652
Santa Cruz,944927
Santa Fe,3128111
Santiago del Estero,613706
Tierra del Fuego,358950
Tucuman,1142925
Unknown,1254
