Location name,Amount spent (PYG)
Alto Paraguay Department,14056
Alto Paraná Department,1717192
Amambay Department,119471
Asunción,1801239
Boquerón department,74234
Caaguazú Department,849698
Caazapá Department,212963
Canindeyú Department,247893
Central Department,5728657
Concepción Department (Paraguay),185181
Cordillera Department,687503
Guairá Department,284375
Itapúa Department,794977
Misiones Department,254161
Paraguarí Department,276132
Presidente Hayes Department,108008
San Pedro Department,258760
Unknown,395
Ñeembucú Department,196295
