Location name,Amount spent (SEK)
Blekinge County,3444
Dalarna County,7600
Gotland County,1670
Gävleborg County,6999
Halland County,7748
Jämtland County,3431
Jönköping County,8512
Kalmar County,5545
Kronoberg County,4137
Norrbotten County,6375
Skåne County,31947
Stockholm County,62312
Södermanland County,7356
Unknown,≤100
Uppsala County,11956
Värmland County,6464
Västerbotten County,6983
Västernorrland County,5513
Västmanland County,6484
Västra Götaland County,42053
Örebro County,7024
Östergötland County,10704
