Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
104386908631938,Pathways Alliance,Pathways Alliance,2926,7
595964430504028,Mayors' Council on Regional Transportation,Mayors' Council on Regional Transportation,2828,15
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Quality Canadian Milk - Lait canadien de qualité,2764,19
95938536190,Shoppers Drug Mart,Shoppers Drug Mart,2675,8
230448456985193,Elections Ontario,Elections Ontario,2206,13
303473312998028,FedEx,FedEx,2012,4
261752512263,Canadian Red Cross,Canadian Red Cross,1669,18
162936387068600,Ontario Public Service Employees Union (OPSEU),Ontario Public Service Employees Union (OPSEU/SEFPO),1636,30
17457692073,Dean Graziosi,These ads ran without a disclaimer,1392,1
367773226675582,The Home Depot,The Home Depot,1229,5
180862678644381,Ontario NDP,Ontario NDP,1186,60
121222984568561,Amnesty International Canada,Amnesty International Canada,1044,86
9333642607,TELUS,TELUS,967,5
154462904588700,Enbridge Gas,Enbridge Gas,955,81
113297740077607,Canadian Energy Centre,Canadian Energy Centre,920,83
186266941387011,BMO Financial Group,BMO Financial Group,874,2
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,682,90
139449499417715,Pharmaprix,Pharmaprix,676,8
5794733873,David Suzuki Foundation,David Suzuki Foundation,672,19
106917558391358,Alliance nouvelles voies,Pathways Alliance,670,2
27321532378,Pierre Poilievre,Conservative Party of Canada - Parti conservateur du Canada,640,4
6095483909,Canadian Taxpayers Federation,Canadian Taxpayers Federation,586,59
633812813408377,Elections Canada,Elections Canada,573,20
281999881613,World Vision Canada,World Vision Canada,548,9
5661704203,Conservative Party of Canada - Parti conservateur du Canada,Conservative Party of Canada - Parti conservateur du Canada,545,40
1097840090260804,National Police Federation,National Police Federation,486,53
283487578481273,Énergir,Énergir,480,15
168106993245736,Canada Post,Canada Post,477,2
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,474,27
167800183238142,YourAlberta (Government of Alberta),YourAlberta (Government of Alberta),474,2
453724058039992,viaSport British Columbia,viaSport British Columbia,464,30
504061526642471,Ontario Power Generation,Ontario Power Generation,463,4
