Location name,Amount spent (USD)
Alabama,9014
Alaska,2469
Arizona,20536
Arkansas,5238
California,67997
Colorado,9920
Connecticut,7796
Delaware,1763
Florida,46346
Georgia,22015
Guam,≤100
Hawaii,2144
Idaho,6873
Illinois,32716
Indiana,17179
Iowa,6470
Kansas,8318
Kentucky,9838
Louisiana,8951
Maine,4668
Maryland,14656
Massachusetts,11996
Michigan,25809
Minnesota,19061
Mississippi,5611
Missouri,13298
Montana,3314
Nebraska,3271
Nevada,9310
New Hampshire,3090
New Jersey,16744
New Mexico,4083
New York,43086
North Carolina,21385
North Dakota,1307
Northern Mariana Islands,≤100
Ohio,20462
Oklahoma,9830
Oregon,8942
Pennsylvania,28394
Puerto Rico,≤100
Rhode Island,1635
South Carolina,9470
South Dakota,1705
Tennessee,14232
Texas,51983
Unknown,≤100
Utah,4946
Vermont,1639
Virgin Islands (U.S.),≤100
Virginia,30470
Washington,13433
"Washington, District of Columbia",9875
West Virginia,4111
Wisconsin,26831
Wyoming,1109
