Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
172263106300009,Eventos Arena,Eventos Arena,66383,70
114574875003396,Administração Municipal do Ecunha,These ads ran without a disclaimer,927,1
108532617697029,Bazin Balla Moussa et frère,These ads ran without a disclaimer,242,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,153,2
1064304623746252,Rights Africa,These ads ran without a disclaimer,148,1
220898724599599,Ação da Cidadania,These ads ran without a disclaimer,≤100,1
106170864917317,Aprende y emprende con tus manos,These ads ran without a disclaimer,≤100,1
1655478897929127,Ladies Social Network,These ads ran without a disclaimer,≤100,1
110435435178433,UKD SHOWS,These ads ran without a disclaimer,≤100,1
30911162508,Forbes,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
103736139244309,Coach Mercedez Lerne,These ads ran without a disclaimer,≤100,1
405199520209766,The Belt and Road News Network,These ads ran without a disclaimer,≤100,1
105841515741486,African Peace and Security Union - APSU,These ads ran without a disclaimer,≤100,1
