Location name,Amount spent (CLP)
Antofagasta Region,107247
Araucanía Region,117911
Arica y Parinacota Region,49850
Atacama Region,52153
Aysén Region,11521
Bío Bío Region,209450
Coquimbo Region,148732
Los Lagos Region,121206
Los Ríos Region,42591
Magallanes y la Antártica Chilena Region,21276
Maule Region,91349
O'Higgins Region,150049
Santiago Metropolitan Region,963447
Tarapacá Region,60962
Unknown,4759
Valparaíso Region,201468
