Location name,Amount spent (TRY)
Adana Province,27799
Adıyaman Province,3497
Afyonkarahisar Province,10340
Aksaray Province,3568
Amasya Province,3886
Ankara Province,67228
Antalya Province,41016
Ardahan Province,1454
Artvin Province,2906
Aydın Province,17055
Ağrı Province,3433
Balıkesir Province,18777
Bartın Province,2498
Batman Province,11528
Bayburt Province,752
Bilecik Province,6815
Bingöl Province,2159
Bitlis Province,2395
Bolu Province,3833
Burdur Province,3008
Bursa Province,39949
Denizli Province,17883
Diyarbakır Province,18378
Düzce Province,4912
Edirne Province,7682
Elazığ Province,3460
Erzincan Province,2613
Erzurum Province,9538
Eskişehir Province,19119
Gaziantep Province,25576
Giresun Province,11817
Gümüşhane Province,1307
Hakkâri Province,1295
Hatay Province,14342
Isparta Province,5778
Istanbul Province,393837
Iğdır Province,1779
Kahramanmaraş Province,10796
Karabük Province,3041
Karaman Province,3036
Kars Province,2713
Kastamonu Province,3570
Kayseri Province,22913
Kilis Province,1632
Kocaeli Province,18133
Konya Province,29749
Kütahya Province,6133
Kırklareli Province,7163
Kırıkkale Province,3353
Kırşehir Province,2830
Malatya Province,9736
Manisa Province,21032
Mardin Province,11919
Mersin Province,20874
Muğla Province,13778
Muş Province,2523
Nevşehir Province,2949
Niğde Province,4207
Ordu Province,11824
Osmaniye Province,6815
Rize Province,8989
Sakarya Province,10160
Samsun Province,22119
Siirt Province,2683
Sinop Province,2893
Sivas Province,5826
Tekirdağ Province,15815
Tokat Province,7858
Trabzon Province,20880
Tunceli Province,895
Unknown,130
Uşak Province,5264
Van Province,13317
Yalova Province,3349
Yozgat Province,4208
Zonguldak Province,4849
Çanakkale Province,6998
Çankırı Province,1651
Çorum Province,4307
İzmir Province,70997
Şanlıurfa Province,14762
Şırnak Province,4947
