Location name,Amount spent (PYG)
Alto Paraguay Department,5857
Alto Paraná Department,1135740
Amambay Department,31776
Asunción,603895
Boquerón department,44679
Caaguazú Department,376284
Caazapá Department,93504
Canindeyú Department,47925
Central Department,1185864
Concepción Department (Paraguay),46256
Cordillera Department,100570
Guairá Department,147893
Itapúa Department,127583
Misiones Department,44715
Paraguarí Department,53363
Presidente Hayes Department,80280
San Pedro Department,71443
Unknown,≤100
Ñeembucú Department,61027
