Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,357
Basra Governorate,≤100
Dhi Qar Governorate,≤100
Diyala Governorate,124
Dohuk Governorate,143
Erbil Governorate,392
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,157
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,116
Saladin Governorate,≤100
Sulaymaniyah Governorate,830
Unknown,≤100
Wasit Governorate,≤100
