Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,126
Cerro Largo Department,≤100
Colonia Department,≤100
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,410
Montevideo Department,402
Paysandú Department,2345
Rivera Department,180
Rocha Department,≤100
Río Negro Department,173
Salto Department,140
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
