Location name,Amount spent (MXN)
Aguascalientes,3699
Baja California,19617
Baja California Sur,5501
Campeche,6492
Chiapas,7427
Chihuahua,24090
Coahuila de Zaragoza,30967
Colima,5133
Distrito Federal,62293
Durango,4033
Guanajuato,11528
Guerrero,4844
Hidalgo,7481
Jalisco,73771
Michoacán de Ocampo,21319
Morelos,7087
Nayarit,2244
Nuevo León,30742
Oaxaca,6886
Puebla,14574
Querétaro Arteaga,8673
Quintana Roo,3983
San Luis Potosi,6948
Sinaloa,5744
Sonora,8198
State of Mexico,159381
Tabasco,4165
Tamaulipas,21303
Tlaxcala,2307
Unknown,≤100
Veracruz,15244
Yucatán,21313
Zacatecas,2841
