Location name,Amount spent (HUF)
Baranya County,121800
Borsod-Abaúj-Zemplén County,180315
Budapest,757681
Bács-Kiskun County,150784
Békés County,110945
Csongrád County,178051
Fejér County,151630
Győr-Moson-Sopron County,153750
Hajdú-Bihar County,212296
Heves County,102631
Jász-Nagykun-Szolnok County,110704
Komárom-Esztergom County,94881
Nógrád County,58487
Pest County,308346
Somogy County,94098
Szabolcs-Szatmár-Bereg County,147585
Tolna County,79501
Unknown,≤100
Vas County,88132
Veszprém County,104058
Zala County,90503
