Location name,Amount spent (USD)
Azuay Province,2812
Bolívar Province,288
Carchi Province,334
Cañar Province,711
Chimborazo Province,999
Cotopaxi Province,834
El Oro Province,3153
Esmeraldas Province,1221
Galápagos Province,242
Guayas Province,9967
Imbabura Province,1298
Loja Province,1224
Los Ríos Province,2191
Manabí Province,5489
Morona-Santiago Province,360
Napo Province,207
Orellana Province,442
Pastaza Province,367
Pichincha Province,7105
Santa Elena Province,1049
Santo Domingo de los Tsáchilas Province,2573
Sucumbíos Province,644
Tungurahua Province,1165
Unknown,≤100
Zamora-Chinchipe Province,234
