Location name,Amount spent (VEF)
Amazonas,≤100
Anzoátegui,3089198
Apure,251187
Aragua,4355520
Barinas,1120544
Bolívar (state),2075329
Capital District,10099683
Carabobo,5355918
Cojedes,258517
Delta Amacuro,176445
Falcón,1240601
Guárico,705187
Lara,2643883
Miranda (state),3007906
Monagas,738863
Mérida,5402645
Nueva Esparta,751455
Portuguesa,1005602
Sucre,546747
Trujillo,752624
Táchira,3614502
Unknown,1290
Vargas,903620
Yaracuy,1176198
Zulia,8889278
