Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
167924689961661,Unidad Nacional de la Esperanza,Unidad Nacional de la Esperanza,28696,185
414127029025760,CABAL,CABAL,15484,28
161800283848513,CREO,CREO,12533,10
196258110831945,Partido Valor,Partido Valor,7928,58
331961940541181,Partido Victoria,Partido Político Victoria,7768,13
187073013532,Partido VIVA,Partido Visión con Valores,6397,54
110226594945647,Partido BIEN,Partido BIEN,5350,142
1882597935332956,Partido VAMOS,Partido VAMOS,5130,20
1612828795636861,Movimiento Semilla,Movimiento Semilla,4147,47
100169482992019,Sebastián Arzú,Sebastián Arzú,3542,20
436246383083297,TODOS,TODOS,3298,12
142556265766634,Guatemala Visible,Guatemala Visible,2298,8
108683092124094,Ruta 23,Ruta 23,1968,3
268285610002238,FCN Nación,FCN Nación,1706,11
100228912981471,PAN - Partido de Avanzada Nacional,PAN - Partido de Avanzada Nacional,1623,13
101372268406640,Unión Republicana,Unión Republicana,1613,13
191866540866722,Elecciones Infantiles,These ads ran without a disclaimer,1518,3
102762215788405,VOS.gt,VOS.gt,1491,15
103639884893606,PIN,PARTIDO DE INTEGRACIÓN NACIONAL PIN,1489,6
110582257361172,Partido Azul,Partido Azul,1198,45
142373979127061,Partido Unionista,Partido Unionista,1133,25
113200171657649,Humanista Cobán,These ads ran without a disclaimer,1045,9
101971388212641,Noticias Pajapita S.M.,Noticias Pajapita S.M.,926,1
174740409237665,TSE Guatemala,TSE Guatemala,912,20
1504150093051201,Villa Nueva Ahora,Villa Nueva Ahora,893,2
414127029025760,CABAL,These ads ran without a disclaimer,649,1
281554395331686,República,"Republica GT, S.A.",536,9
765790550460228,Comité Cívico Justicia,Comité Cívico Justicia,462,7
96594798704,Movimiento Cívico Nacional - MCN,Movimiento Cívico Nacional,455,2
102205156104079,Ludin Marroquín Jutiapa El Ganador,Ludin Marroquín Jutiapa El Ganador,394,4
117622244670758,Celeste Hamm,Celeste Hamm,394,9
106414945477006,TODOS Nueva Concepción,TODOS Nueva Concepción,394,6
108748214736261,Partido Republicano -PR-,Partido Republicano -PR-,393,2
104363285138486,Nosotros Guatemala,Partido Político Nosotros,361,11
114227945284581,De Frente Por Guate,The Advertising Strategists,356,2
238268799547266,TV Azteca Guatemala,TV Azteca Guatemala,354,10
111275711965424,Partido Republicano Quetzaltenango,Partido Republicano Quetzaltenango,345,12
115463025737962,Salvador Paiz,Salvador Paiz,319,5
1882597935332956,Partido VAMOS,These ads ran without a disclaimer,298,1
122577984102328,Cotilleo,Cotilleo,279,1
105685841067405,Alianza Global de Jóvenes Políticos Guatemala,Alianza Global de Jóvenes Políticos Guatemala,250,2
124187513936178,Denuncia Chapín,Denuncia Chapín,248,1
1212640285520369,Asociación Política Caminemos,Asociación Política Caminemos,248,2
651609578607802,El Tajás,El Tajás,234,2
107390778294561,Lewis Logan-Podemos Escuintla,Lewis Logan-Podemos Escuintla,219,2
100567842339226,Noticias URNG Maíz,Noticias URNG Maíz,214,5
105602585885874,La Corte de los Chapines,La Corte de los Chapines,198,9
104917155362067,Roberto Arzu García-Granados,Roberto Arzu García-Granados,197,1
